epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,113.074,0.96164,0.81651,1.21482,0.94964,0.96053,0.96872,0.59716,1.37869,0.62001,1.74009,0.000775822,0.000775822,0.000775822
56,114.776,0.83688,0.76779,1.1684,0.96266,0.96053,0.9661,0.62708,1.29464,0.61714,1.673,0.000759318,0.000759318,0.000759318
57,116.472,0.88958,0.77795,1.182,0.96242,0.96053,0.95608,0.58613,1.31416,0.61356,1.71406,0.000742815,0.000742815,0.000742815
58,118.166,0.91502,0.78452,1.19927,0.96041,0.96053,0.96297,0.5762,1.35388,0.62551,1.71034,0.000726312,0.000726312,0.000726312
59,120.007,0.93457,0.84911,1.20474,0.96084,0.97212,0.97404,0.5938,1.3308,0.66529,1.64252,0.000709809,0.000709809,0.000709809
60,121.707,0.9554,0.87053,1.20055,0.97028,0.97465,0.97484,0.60439,1.29417,0.65285,1.62512,0.000693305,0.000693305,0.000693305
61,123.489,0.97448,0.83927,1.22636,0.96143,0.98605,0.97247,0.60639,1.31348,0.65248,1.69401,0.000676802,0.000676802,0.000676802
62,125.318,0.89328,0.78912,1.20652,0.95135,0.96053,0.963,0.57909,1.36517,0.65472,1.77836,0.000660299,0.000660299,0.000660299
63,127.185,0.87353,0.82091,1.18969,0.96436,0.96053,0.9565,0.59901,1.29802,0.62328,1.71956,0.000643795,0.000643795,0.000643795
64,129.104,0.84141,0.74987,1.17294,0.94518,0.98684,0.97839,0.63245,1.2512,0.59139,1.67844,0.000627292,0.000627292,0.000627292
65,130.9,0.90339,0.77698,1.24468,0.94607,0.97363,0.97317,0.63123,1.24576,0.60505,1.66997,0.000610789,0.000610789,0.000610789
66,132.587,0.92469,0.78345,1.18514,0.93852,0.94183,0.9656,0.59329,1.29127,0.68732,1.71714,0.000594286,0.000594286,0.000594286
67,134.329,0.91774,0.75678,1.18681,0.95843,0.96053,0.96494,0.59382,1.32367,0.6343,1.73388,0.000577782,0.000577782,0.000577782
68,136.165,0.85415,0.71046,1.13071,0.95685,0.97005,0.95864,0.60298,1.2848,0.61549,1.66815,0.000561279,0.000561279,0.000561279
69,137.917,0.85361,0.70413,1.16084,0.94024,0.95911,0.94288,0.60791,1.22451,0.63949,1.61942,0.000544776,0.000544776,0.000544776
70,139.625,0.82262,0.72228,1.14058,0.94809,0.95885,0.94769,0.6021,1.24469,0.63501,1.64779,0.000528272,0.000528272,0.000528272
71,141.328,0.8431,0.70807,1.12144,0.9573,0.96222,0.95962,0.60046,1.28498,0.62756,1.67657,0.000511769,0.000511769,0.000511769
72,143.056,0.85279,0.72149,1.16012,0.97029,0.97368,0.98056,0.61823,1.25907,0.5914,1.65422,0.000495266,0.000495266,0.000495266
73,144.774,0.81436,0.71979,1.14255,0.96848,0.98684,0.98012,0.63499,1.22233,0.55326,1.62174,0.000478762,0.000478762,0.000478762
74,146.517,0.81442,0.6914,1.13849,0.95564,0.98684,0.97937,0.63555,1.22698,0.54978,1.62316,0.000462259,0.000462259,0.000462259
75,148.295,0.82728,0.66648,1.11972,0.96573,0.97005,0.97536,0.61636,1.26003,0.56477,1.65857,0.000445756,0.000445756,0.000445756
76,150.056,0.78743,0.64785,1.11902,0.95253,0.96673,0.97251,0.61475,1.25133,0.56619,1.64904,0.000429253,0.000429253,0.000429253
77,151.897,0.83979,0.67494,1.15028,0.96562,0.96863,0.97358,0.62326,1.26094,0.55794,1.61584,0.000412749,0.000412749,0.000412749
78,153.615,0.81556,0.70001,1.12525,0.95138,0.9788,0.9736,0.62753,1.28432,0.58109,1.63521,0.000396246,0.000396246,0.000396246
79,155.42,0.81343,0.68959,1.13016,0.95114,0.98275,0.97487,0.61187,1.2873,0.5984,1.65467,0.000379743,0.000379743,0.000379743
80,157.291,0.82656,0.65212,1.15846,0.96005,0.97465,0.97707,0.61405,1.27573,0.57127,1.64303,0.000363239,0.000363239,0.000363239
81,158.999,0.82965,0.69273,1.11999,0.94987,0.9852,0.97886,0.6254,1.25366,0.55478,1.60206,0.000346736,0.000346736,0.000346736
82,160.752,0.8076,0.68035,1.13299,0.96428,0.97203,0.97524,0.61639,1.24834,0.57001,1.60614,0.000330233,0.000330233,0.000330233
83,162.496,0.7923,0.68427,1.12397,0.96339,0.97183,0.97258,0.60659,1.24152,0.56438,1.60215,0.000313729,0.000313729,0.000313729
84,164.248,0.75895,0.64147,1.09891,0.96438,0.9692,0.97132,0.61783,1.2311,0.58217,1.59356,0.000297226,0.000297226,0.000297226
85,166.135,0.71371,0.63901,1.0929,0.96489,0.96938,0.96996,0.61736,1.23381,0.59271,1.59956,0.000280723,0.000280723,0.000280723
86,167.867,0.74392,0.62904,1.06602,0.96432,0.96923,0.97289,0.61733,1.24373,0.58825,1.62107,0.00026422,0.00026422,0.00026422
87,169.666,0.72381,0.58195,1.09008,0.95106,0.98287,0.97204,0.60498,1.2526,0.59072,1.61448,0.000247716,0.000247716,0.000247716
88,171.386,0.75182,0.62822,1.10076,0.95252,0.98086,0.975,0.60921,1.26114,0.59304,1.60419,0.000231213,0.000231213,0.000231213
89,173.11,0.71125,0.65664,1.07909,0.96494,0.96107,0.97478,0.60392,1.26669,0.59846,1.61194,0.00021471,0.00021471,0.00021471
90,174.917,0.75241,0.62619,1.09871,0.94347,0.9592,0.96847,0.60208,1.27366,0.62198,1.63867,0.000198206,0.000198206,0.000198206
91,180.641,0.71837,0.63571,1.10685,0.94166,0.95316,0.96018,0.59549,1.28223,0.63979,1.66296,0.000181703,0.000181703,0.000181703
92,182.461,0.66508,0.74125,1.08469,0.95442,0.91078,0.96732,0.59197,1.31207,0.67239,1.69286,0.0001652,0.0001652,0.0001652
93,184.096,0.68341,0.60309,1.10253,0.94746,0.91762,0.97043,0.5903,1.31712,0.67509,1.6903,0.000148696,0.000148696,0.000148696
94,185.907,0.67529,0.59809,1.09499,0.93891,0.93585,0.97225,0.59784,1.31677,0.65763,1.69157,0.000132193,0.000132193,0.000132193
95,187.485,0.68456,0.59598,1.06884,0.94236,0.9371,0.97355,0.59326,1.30861,0.63652,1.68117,0.00011569,0.00011569,0.00011569
96,189.077,0.66262,0.59387,1.04409,0.94917,0.94654,0.97598,0.59774,1.30444,0.61196,1.67378,9.91865e-05,9.91865e-05,9.91865e-05
97,190.688,0.68205,0.56035,1.05674,0.92086,0.98684,0.97517,0.59554,1.317,0.59512,1.68323,8.26832e-05,8.26832e-05,8.26832e-05
98,192.281,0.68518,0.60685,1.06523,0.92386,0.98684,0.9759,0.58291,1.31925,0.58464,1.68954,6.61799e-05,6.61799e-05,6.61799e-05
99,193.842,0.67075,0.55057,1.05086,0.96463,0.93558,0.97493,0.584,1.31743,0.57964,1.69066,4.96766e-05,4.96766e-05,4.96766e-05
100,195.599,0.63179,0.53234,1.05976,0.92887,0.98684,0.97525,0.58617,1.30826,0.57224,1.68749,3.31733e-05,3.31733e-05,3.31733e-05
